"sample Number","QuickSelect","DeterministicSelect","SelectK_InsertSort"
117,0.088,0.088,0.112
118,0.093,0.094,0.113
119,0.087,0.092,0.112
120,0.089,0.090,0.119
121,0.089,0.091,0.112
122,0.088,0.088,0.111
123,0.085,0.092,0.113
124,0.087,0.090,0.109
125,0.089,0.089,0.118
126,0.085,0.092,0.113
127,0.090,0.096,0.128
128,0.086,0.099,0.125
129,0.082,0.102,0.121
130,0.088,0.093,0.112
131,0.093,0.091,0.127
132,0.089,0.109,0.119
133,0.092,0.094,0.118
134,0.087,0.087,0.112
135,0.097,0.099,0.115
136,0.091,0.095,0.115
137,0.085,0.090,0.118
138,0.085,0.084,0.115
139,0.089,0.093,0.120
140,0.093,0.096,0.114
141,0.082,0.102,0.114
142,0.088,0.091,0.120
143,0.086,0.091,0.112
144,0.086,0.102,0.118
145,0.085,0.095,0.119
146,0.083,0.101,0.113
147,0.085,0.104,0.112
148,0.090,0.092,0.114
149,0.084,0.090,0.129
150,0.090,0.089,0.111
151,0.087,0.091,0.117
152,0.088,0.090,0.120
153,0.081,0.090,0.111
154,0.088,0.094,0.113
155,0.084,0.103,0.111
156,0.092,0.089,0.109
157,0.094,0.094,0.115
158,0.081,0.097,0.109
159,0.089,0.091,0.122
160,0.095,0.097,0.109
161,0.092,0.098,0.121
162,0.091,0.089,0.119
163,0.088,0.097,0.125
164,0.085,0.090,0.113
165,0.091,0.101,0.113
166,0.092,0.091,0.115
167,0.083,0.092,0.116
168,0.089,0.102,0.117
169,0.090,0.101,0.124
170,0.087,0.095,0.111
171,0.092,0.092,0.113
172,0.094,0.094,0.120
173,0.089,0.092,0.112
174,0.092,0.101,0.119
175,0.085,0.098,0.117
176,0.085,0.095,0.112
177,0.084,0.099,0.113
178,0.085,0.101,0.116
179,0.088,0.096,0.112
180,0.088,0.092,0.112
181,0.083,0.100,0.119
182,0.086,0.099,0.113
183,0.090,0.100,0.113
184,0.093,0.094,0.121
185,0.090,0.093,0.117
186,0.085,0.094,0.120
187,0.085,0.092,5.129
188,0.091,0.104,0.113
189,0.091,0.101,0.112
190,0.087,0.101,0.116
191,0.093,0.106,0.124
192,0.090,0.095,0.116
193,0.091,0.094,0.124
194,0.088,0.093,0.122
195,0.097,0.093,0.135
196,0.086,0.091,0.115
197,0.090,0.091,0.113
198,0.085,0.092,0.110
199,0.087,0.100,0.116
200,0.087,0.105,0.113
