"sample Number","QuickSelect","DeterministicSelect","SelectK_InsertSort"
1,0.086,0.098,0.121
2,0.094,0.101,0.113
3,0.093,0.098,0.114
4,0.085,0.098,0.119
5,0.087,0.095,0.112
6,0.084,0.097,0.112
7,0.082,0.095,0.121
8,0.086,0.098,0.109
9,0.094,0.092,0.111
10,0.092,0.106,0.117
11,0.091,0.095,0.112
12,0.090,0.096,0.111
13,0.085,0.091,0.109
14,0.089,0.101,0.119
15,0.085,0.102,0.110
16,0.090,0.091,0.122
17,0.088,0.088,0.116
18,0.090,0.095,0.115
19,0.091,0.088,0.114
20,0.085,0.093,0.111
21,0.090,0.093,0.112
22,0.086,0.096,0.111
23,0.083,0.096,0.119
24,0.093,0.092,0.115
25,0.093,0.090,0.111
26,0.082,0.098,0.110
27,0.085,0.099,0.113
28,0.088,0.101,0.113
29,0.101,0.091,0.123
30,0.087,0.097,0.110
31,0.091,0.097,0.116
32,0.092,0.097,0.123
33,0.091,0.093,0.120
34,0.088,0.094,0.119
35,0.086,0.095,0.128
36,0.090,0.096,0.116
37,0.092,0.099,0.120
38,0.092,0.094,0.122
39,0.094,0.097,0.117
40,0.086,0.096,0.118
41,0.089,0.093,0.117
42,0.086,0.093,0.116
43,0.099,0.093,0.112
44,0.085,0.100,0.116
45,0.082,0.094,0.110
46,0.094,0.090,0.112
47,0.091,0.098,0.115
48,0.088,0.090,0.129
49,0.091,0.093,0.112
50,0.091,0.102,0.112
51,0.088,0.092,0.110
52,0.087,0.101,0.118
53,0.083,0.092,0.110
54,0.084,0.092,0.111
55,0.095,0.101,0.126
56,0.086,0.092,0.121
57,0.093,0.103,0.118
58,0.089,0.100,0.113
59,0.086,0.092,0.117
60,0.090,0.090,0.112
61,0.088,0.092,0.111
62,0.087,0.091,0.114
63,0.091,0.093,0.111
64,0.088,0.093,0.121
65,0.091,0.092,0.113
66,0.088,0.101,0.129
67,0.081,0.100,0.112
68,0.089,0.091,0.120
69,0.085,0.091,0.110
70,0.091,0.102,0.114
71,0.085,0.098,0.111
72,0.084,0.098,0.111
73,0.093,0.096,0.120
74,0.084,0.094,0.110
75,0.089,0.092,0.115
76,0.089,0.095,0.115
77,0.083,0.096,0.111
78,0.084,0.092,0.112
79,0.092,0.097,0.112
80,0.091,0.101,0.111
81,0.086,0.099,0.115
82,0.087,0.094,0.125
83,0.086,0.090,0.118
84,0.089,0.100,0.119
85,0.088,0.101,0.111
86,0.086,0.095,0.128
87,0.091,0.093,0.119
88,0.091,0.104,0.113
89,0.091,0.091,0.122
90,0.085,0.099,0.118
91,0.088,0.095,0.121
92,0.078,0.091,0.116
93,0.083,0.102,0.112
94,0.094,0.093,0.113
95,0.091,0.093,0.112
96,0.092,0.095,0.117
97,0.085,0.088,0.114
98,0.087,0.099,0.112
99,0.085,0.094,0.117
100,0.089,0.103,0.116
101,0.085,0.099,0.116
102,0.093,0.097,0.123
103,0.086,0.099,0.110
104,0.089,0.098,0.113
105,0.084,0.101,0.118
106,0.086,0.090,0.117
107,0.086,0.101,0.109
108,0.092,0.093,0.117
109,0.090,0.101,0.118
110,0.089,0.092,0.126
111,0.092,0.092,0.115
112,0.091,0.095,0.121
113,0.086,0.092,0.115
114,0.086,0.102,0.114
115,0.089,0.093,0.120
116,0.084,0.098,0.112
