"sample Number","QuickSelect","DeterministicSelect","SelectK_InsertSort"
151,0.189,0.204,3.417
152,0.195,0.175,3.433
153,0.193,0.193,3.444
154,0.186,0.204,3.404
155,0.198,0.189,3.421
156,0.187,0.197,3.440
157,0.195,0.200,3.414
158,0.194,0.208,3.411
159,0.199,0.203,3.432
160,0.192,0.199,3.461
161,0.198,0.193,3.437
162,0.194,0.196,3.421
163,0.199,0.207,3.444
164,0.193,0.177,3.424
165,0.201,0.188,3.581
166,0.200,0.201,3.562
167,0.196,0.173,3.432
168,0.195,0.182,3.443
169,0.195,0.200,3.426
170,0.190,0.197,3.397
171,0.198,0.190,3.426
172,0.191,0.203,3.480
173,0.208,0.206,3.438
174,0.194,0.192,3.427
175,0.192,0.203,3.441
176,0.191,0.185,3.410
177,0.191,0.194,3.430
178,0.190,0.180,3.433
179,0.205,0.199,3.492
180,0.193,0.206,3.457
181,0.192,0.205,3.434
182,0.195,0.198,3.433
183,0.212,0.201,3.445
184,0.182,0.199,3.424
185,0.201,0.192,3.438
186,0.187,0.197,3.474
187,0.202,0.196,3.430
188,0.189,0.196,3.436
189,0.192,0.202,3.433
190,0.190,0.191,3.430
191,0.201,0.190,3.415
192,0.191,0.196,3.431
193,0.198,0.198,3.464
194,0.195,0.178,3.440
195,0.203,0.196,3.444
196,0.198,0.192,3.446
197,0.198,0.202,3.423
198,0.190,0.192,3.418
199,0.198,0.192,3.464
200,0.197,0.199,3.432
