"sample Number","QuickSelect","DeterministicSelect","SelectK_InsertSort"
1,0.199,0.194,3.434
2,0.197,0.209,3.435
3,0.201,0.206,3.435
4,0.197,0.200,3.422
5,0.203,0.212,3.414
6,0.194,0.174,3.415
7,0.201,0.209,3.458
8,0.187,0.203,3.441
9,0.200,0.180,3.427
10,0.194,0.192,3.417
11,0.199,0.197,3.442
12,0.192,0.193,3.429
13,0.192,0.200,3.429
14,0.184,0.207,3.445
15,0.202,0.208,3.433
16,0.196,0.195,3.422
17,0.199,0.209,3.415
18,0.198,0.201,3.437
19,0.185,0.206,3.430
20,0.200,0.200,3.428
21,0.202,0.192,3.439
22,0.188,0.191,3.416
23,0.192,0.176,3.445
24,0.195,0.196,3.425
25,0.201,0.204,3.434
26,0.194,0.193,3.401
27,0.199,0.210,3.437
28,0.192,0.195,3.436
29,0.201,0.202,3.414
30,0.389,0.203,3.429
31,0.197,0.206,3.458
32,0.187,0.199,3.406
33,0.195,0.204,3.427
34,0.191,0.200,3.427
35,0.201,0.178,3.432
36,0.187,0.187,3.433
37,0.195,0.208,3.418
38,0.191,0.170,3.454
39,0.195,0.178,3.429
40,0.200,0.204,3.413
41,0.203,0.208,3.429
42,0.185,0.192,3.429
43,0.197,0.202,3.429
44,0.196,0.187,3.421
45,0.188,0.170,3.435
46,0.193,0.179,3.420
47,0.193,0.201,3.416
48,0.188,0.190,3.432
49,0.197,0.179,3.444
50,0.195,0.180,3.440
51,0.198,0.192,3.427
52,0.184,0.177,3.435
53,0.182,0.202,3.443
54,0.195,0.212,3.423
55,0.185,0.178,3.423
56,0.196,0.206,3.420
57,0.189,0.181,3.428
58,0.195,0.204,3.437
59,0.197,0.191,3.431
60,0.204,0.195,3.428
61,0.191,0.204,3.441
62,0.203,0.201,3.421
63,0.198,0.179,3.423
64,0.203,0.208,3.429
65,0.197,0.191,3.432
66,0.200,0.197,3.421
67,0.201,0.178,3.433
68,0.195,0.199,3.422
69,0.194,0.200,3.418
70,0.201,0.195,3.439
71,0.172,0.197,3.432
72,0.194,0.187,3.426
73,0.194,0.204,3.415
74,0.197,0.206,3.417
75,0.197,0.193,3.428
76,0.197,0.208,3.436
77,0.195,0.174,3.433
78,0.189,0.199,3.432
79,0.198,0.178,3.427
80,0.192,0.198,3.419
81,0.196,0.203,3.427
82,0.191,0.180,3.412
83,0.195,0.206,3.434
84,0.192,0.192,3.439
85,0.193,0.201,3.406
86,0.197,0.197,3.434
87,0.192,0.209,3.431
88,0.194,0.393,3.423
89,0.198,0.205,3.439
90,0.200,0.200,3.421
91,0.193,0.199,3.428
92,0.196,0.204,3.428
93,0.190,0.204,3.408
94,0.197,0.190,3.441
95,0.187,0.194,3.410
96,0.195,0.195,3.418
97,0.191,0.205,3.422
98,0.197,0.198,3.421
99,0.200,0.180,3.432
100,0.201,0.204,3.429
101,0.202,0.204,3.418
102,0.198,0.198,3.417
103,0.217,0.182,3.420
104,0.201,0.180,3.423
105,0.189,0.201,3.430
106,0.199,0.201,3.422
107,0.197,0.177,3.428
108,0.192,0.186,3.430
109,0.201,0.200,3.409
110,0.193,0.206,3.421
111,0.196,0.178,3.436
112,0.190,0.201,3.426
113,0.198,0.176,3.426
114,0.188,0.203,3.460
115,0.199,0.210,3.680
116,0.198,0.217,3.460
117,0.196,0.192,3.430
118,0.189,0.186,3.430
119,0.196,0.189,3.426
120,0.198,0.176,3.419
121,0.198,0.202,3.430
122,0.189,0.195,3.481
123,0.213,0.211,3.501
124,0.192,0.207,3.412
125,0.200,0.199,3.430
126,0.193,0.180,3.429
127,0.197,0.208,3.425
128,0.188,0.202,3.418
129,0.194,0.192,3.465
130,0.194,0.174,3.450
131,0.199,0.180,3.411
132,0.181,0.204,3.428
133,0.195,0.202,3.440
134,0.197,0.204,3.408
135,0.199,0.206,3.419
136,0.192,0.203,3.419
137,0.195,0.214,3.429
138,0.197,0.195,3.412
139,0.204,0.206,3.427
140,0.200,0.176,3.430
141,0.192,0.199,3.412
142,0.183,0.195,3.429
143,0.188,0.193,3.425
144,0.195,0.200,3.424
145,0.196,0.198,3.443
146,0.195,0.172,3.453
147,0.194,0.191,3.441
148,0.195,0.182,3.581
149,0.208,0.195,3.461
150,0.188,0.199,3.427
