"sample Number","QuickSelect","DeterministicSelect","SelectK_InsertSort"
1,0.819,0.485,329.987
2,0.833,0.656,330.901
3,0.841,0.588,330.421
4,0.837,0.555,330.501
5,0.873,0.536,330.937
6,0.857,0.529,332.000
7,0.836,0.608,329.743
8,0.860,0.590,329.296
9,0.837,0.502,329.321
10,0.842,0.552,330.240
11,0.842,0.564,329.826
12,0.839,0.564,329.432
13,0.832,0.616,329.500
14,0.840,0.583,329.138
15,0.834,0.534,329.488
16,0.827,0.600,329.458
17,0.833,0.557,330.239
18,0.836,0.542,329.412
19,0.852,0.595,329.320
20,0.848,0.537,329.620
21,0.844,0.606,329.109
22,0.846,0.618,329.437
23,0.841,0.602,329.512
24,0.835,0.600,329.776
25,0.838,0.560,329.436
26,0.833,0.536,329.380
27,0.831,0.538,329.231
28,0.848,0.528,329.404
29,0.840,0.584,329.469
30,0.855,0.609,329.112
31,0.836,0.531,329.619
32,0.841,0.624,329.550
33,0.837,0.535,329.780
34,0.849,0.586,329.545
35,0.831,0.626,331.840
36,0.839,0.541,330.623
37,0.849,0.509,330.112
38,0.841,0.741,330.069
39,0.836,0.543,332.410
40,0.832,0.537,332.467
41,0.839,0.560,330.102
42,0.831,0.540,329.906
43,0.879,0.542,332.366
44,0.846,0.581,331.174
45,0.838,0.528,330.547
46,0.836,0.580,330.312
47,0.837,0.623,330.511
48,0.834,0.590,331.445
49,0.851,0.573,330.415
50,0.840,0.568,330.046
51,0.840,0.587,332.586
52,0.852,0.770,332.213
53,0.841,0.563,331.719
54,0.848,0.544,330.888
55,0.852,0.570,332.738
56,0.837,0.583,337.678
57,0.852,0.545,337.851
58,0.843,0.548,336.820
59,0.847,0.631,336.643
60,0.837,0.523,337.243
61,0.851,0.601,336.731
62,0.843,0.579,337.519
63,0.841,0.588,334.961
64,0.856,0.628,337.353
65,0.844,0.544,336.869
66,0.847,0.622,337.094
67,0.846,0.534,337.095
68,0.839,0.558,335.427
69,0.851,0.647,337.040
70,0.845,0.544,334.674
71,0.840,0.626,336.314
72,0.842,0.534,336.233
73,0.837,0.535,336.551
74,0.861,0.608,337.008
75,0.848,0.561,336.378
76,0.850,0.577,336.742
77,0.854,0.541,336.505
78,0.842,0.597,336.565
79,0.843,0.603,330.369
80,0.850,0.556,334.472
81,0.846,0.610,330.871
82,0.831,0.593,332.016
83,0.846,0.580,331.162
84,0.840,0.605,333.783
85,0.839,0.592,336.323
86,0.841,0.634,336.766
87,0.850,0.581,336.119
88,0.845,0.540,336.919
89,0.845,0.614,335.687
90,0.869,0.574,333.697
91,0.840,0.557,330.801
92,0.860,0.550,330.180
93,0.867,0.584,330.082
94,0.841,0.581,330.334
95,0.862,0.514,330.047
96,0.855,0.582,330.134
97,0.846,0.546,329.741
98,0.836,0.558,330.129
99,0.853,0.603,330.267
100,0.837,0.619,330.208
101,0.832,0.581,329.937
102,0.838,0.659,330.413
103,0.887,0.637,329.470
104,0.836,0.522,329.749
105,1.053,0.531,329.688
106,0.844,0.535,329.905
107,0.855,0.546,329.685
108,0.841,0.577,329.975
109,0.852,0.556,329.949
110,0.849,0.596,330.300
111,0.833,0.513,330.907
112,0.855,0.537,330.418
113,0.835,0.540,329.575
114,0.835,0.572,330.522
115,0.839,0.506,330.151
116,0.840,0.561,330.140
117,0.832,0.588,330.409
118,0.855,0.562,330.740
119,0.839,0.547,330.569
120,0.836,0.613,330.057
121,0.838,0.594,330.558
122,0.837,0.534,330.711
123,0.838,0.577,330.029
124,0.839,0.537,331.920
125,3.356,1.423,330.656
126,0.834,0.585,329.968
127,0.835,0.597,329.852
128,0.845,0.535,330.055
129,0.866,0.549,329.941
130,0.839,0.548,329.804
131,0.838,0.527,330.060
132,0.837,0.564,329.643
133,0.832,0.517,329.746
134,0.839,0.569,330.021
135,0.863,0.561,330.204
136,0.837,0.577,329.795
137,0.838,0.576,330.338
138,0.844,0.545,330.213
139,0.833,0.535,330.076
140,0.838,0.532,330.445
141,0.840,0.760,329.853
142,0.836,0.566,329.953
143,0.857,0.512,330.301
144,0.838,0.569,329.839
145,0.844,0.553,330.069
146,0.848,0.543,329.897
147,0.845,0.539,330.245
148,0.837,0.541,329.952
149,0.838,0.548,329.995
150,0.850,0.561,330.027
151,0.831,0.547,330.107
152,0.836,0.647,329.806
153,0.839,0.545,329.906
154,0.839,0.570,330.433
155,0.838,0.577,329.542
156,0.827,0.560,329.439
157,0.860,0.544,330.331
158,0.842,0.576,329.968
159,0.847,0.593,330.599
160,0.849,0.528,329.822
161,0.838,0.582,330.094
162,0.845,0.595,329.852
163,0.835,0.546,329.277
164,0.832,0.626,330.257
165,0.838,0.525,329.571
166,0.837,0.662,330.107
167,0.831,0.569,329.668
168,0.839,0.565,329.928
169,0.832,0.542,329.647
170,0.839,0.610,329.723
171,0.856,0.604,329.642
172,0.842,0.562,329.570
173,0.839,0.746,330.018
174,0.834,0.620,329.764
175,0.836,0.553,329.914
176,0.839,0.630,329.653
177,0.832,0.525,329.748
178,0.835,0.518,330.058
179,0.838,0.568,330.243
180,0.844,0.571,330.180
181,0.837,0.572,329.820
182,0.834,0.533,329.947
183,0.836,0.598,330.299
184,0.861,0.530,330.179
185,0.847,0.548,329.585
186,0.856,0.536,329.597
187,0.838,0.536,329.841
188,0.863,0.572,329.718
189,0.845,0.550,329.952
190,0.829,0.642,329.784
191,0.839,0.546,329.619
192,0.841,0.593,329.507
193,0.837,0.620,329.590
194,0.838,0.571,334.750
195,0.855,0.536,330.308
196,0.857,0.598,331.628
197,0.860,0.571,329.578
198,0.847,0.521,329.414
199,0.844,0.559,329.663
200,0.850,0.527,329.164
